amulet-essentials	0	0	0	0
amulet-atlas	16	9	0	0
acr-hud	0	0	0	0
NaNoBotCo	47	27	0	0
Lanna	250	32	3	3
nanobotco.github.io	82	34	2	1
basque-tables	32	20	0	0
pink-box	24	15	0	0
buffalo-wings	50	35	0	0
care-abroad	16	13	0	0
pinot-noir	28	15	0	0
carolina-barbecue	132	71	4	3
coucal-clock	2	1	0	0
dead-mans-switch	20	15	0	0
traffic-eye	18	12	2	1
jovilabe	11	8	0	0
manuscript-crawler	0	0	0	0
spec-hud	0	0	0	0
mot-dang	54	28	9	4
manuscript-wiki	8	7	0	0
defiant-site	20	17	0	0
skipdjt	14	6	0	0
mueang-map	4	4	0	0
moat-game	7	7	0	0
thairoots	3	3	0	0
stocktake	6	6	0	0
hak-farang	5	5	1	1
offramp	6	6	4	2
blinking-twelve	4	4	0	0
blinky-fidget	4	4	0	0
moat-stardew	4	4	0	0
neurovizr-decoded	4	4	1	1
lanna-almanac	4	4	0	0
taoist-oracle	5	5	1	1
pdf-tool	5	5	0	0
kali-yantra	5	5	0	0
baanstaff	3	3	0	0
poplucky	6	6	0	0
thai-answers	5	5	1	1
swanbot	7	6	0	0
st-expedite-wiki	3	3	0	0
muak-yant-site	3	3	0	0
manuscript-transcribe	6	6	7	1
homematch	4	4	0	0
food-pantry	4	4	0	0
flighthelper	5	5	0	0
feed-detox	5	5	0	0
cm-womens-health	6	6	0	0
catalog-pipeline	0	0	0	0
amulet-reference	4	4	1	1
amulet-market-api	5	5	0	0
wichaa-vault	5	5	0	0
